ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vender individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
3641,variable,87686260-1,"Peep Toe Vaqueta Camélia",'-1,0,visible,"Peep Toe confeccionado em couro vaqueta camelia e verniz camelia. Salto de 11cm com pata de 2cm. Ref.: 87686260-1","Peep Toe confeccionado em couro vaqueta camélia e verniz camélia. Salto de 11cm com pata de 2cm. Ref.: 87686260-1",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 30%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/876-86260-vaqueta-camelia-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/876-86260-vaqueta-camelia-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/876-86260-vaqueta-camelia-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3672,variable,62262187,"Peep Toe Lame Red",'-1,0,visible,"Peep Toe Divalesi confeccionado em lame red. Salto de 8cm com pata de 1cm. Aplicação de laço em lame red. Ref.: 62262187","Peep Toe Divalesi confeccionado em lame red. Salto de 8cm com pata de 1cm. Aplicação de laço em lame red. Ref.: 62262187",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 40%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62187-lame-red-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62187-lame-red-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62187-lame-red-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3687,variable,86886345-2,"Peep Toe Soft Pele",'-1,0,visible,"Peep Toe confeccionado em verniz soft pele. Salto de 11cm com pata de 2cm. Ref.: 86886345-2","Peep Toe confeccionado em verniz soft pele. Salto de 11cm com pata de 2cm. Ref.: 86886345-2",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-soft-pele-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-soft-pele-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-soft-pele-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3697,variable,86886346,"Peep Toe Lame Preto",'-1,0,visible,"Peep Toe Divalesi confeccionado em lame preto. Salto de 11cm com pata de 2cm. Aplicação de laço em lame preto. Ref.: 86886346","Peep Toe Divalesi confeccionado em lame preto. Salto de 11cm com pata de 2cm. Aplicação de laço em lame preto. Ref.: 86886346",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 50%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86346-lame-preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86346-lame-preto-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86346-lame-preto-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3721,variable,86886337,"Peep Toe Lantejoula Preto",'-1,0,visible,"Peep Toe confeccionado em lantejoula preto/prata e cetim preto. Salto de 11cm com pata de 2cm. Ref.: 86886337","Peep Toe Divalesi confeccionado em lantejoula preto/prata e cetim preto. Salto de 11cm com pata de 2cm. Ref.: 86886337",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 50%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86337-lantejoula-preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86337-lantejoula-preto-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86337-lantejoula-preto-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3745,variable,62262180,"Peep Toe Slingback Lantejoula Cobre/Dourada Cetim Sienna",'-1,0,visible,"Peep Toe Slingback Divalesi modelo chanel confeccionado em lantejoula cobre/dourada e cetim sienna. Salto de 8cm com pata de 2cm. Ref.: 62262180","Peep Toe Slingback Divalesi modelo chanel confeccionado em lantejoula cobre/dourada e cetim sienna. Salto de 8cm com pata de 2cm. Ref.: 62262180",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 50%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62180-lantejoula-cobre-cetim-sienna-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62180-lantejoula-cobre-cetim-sienna-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62180-lantejoula-cobre-cetim-sienna-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3760,variable,86886338,"Peep Toe Toscana Preto",'-1,0,visible,"Peep Toe Divalesi confeccionado em toscana preto. Salto de 11cm com pata de 2cm. Aplicação de transfer jet. Ref.: 86886338","Peep Toe Divalesi confeccionado em toscana preto. Salto de 11cm com pata de 2cm. Aplicação de transfer jet. Ref.: 86886338",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 50%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86338-toscana-preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86338-toscana-preto-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86338-toscana-preto-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3776,variable,87686040,"Peep Toe Verniz Preto",'-1,0,visible,"Peep Toe confeccionado em verniz preto. Salto de 11cm com pata de 2cm. Ref.: 87686040","Peep Toe confeccionado em verniz preto. Salto de 11cm com pata de 2cm. Ref.: 87686040",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 30%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/876-86040-verniz-preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/876-86040-verniz-preto-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/876-86040-verniz-preto-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3793,variable,86886335,"Peep Toe Brilhante Champanhe",'-1,0,visible,"Peep Toe Divalesi confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Aplicação de enfeite em ouro cristal. Ref.: 86886335","Peep Toe Divalesi confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Aplicação de enfeite em ouro cristal. Ref.: 86886335",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 40%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86335-brilhante-champanhe-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86335-brilhante-champanhe-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86335-brilhante-champanhe-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3823,variable,62262183,"Peep Toe Slingback Couro Nobuck Magenta",'-1,0,visible,"Peep toe modelo chanel confeccionado em couro nobuck magenta. Salto de 8cm com pata de 1cm. Ref.: 62262183","Peep Toe Slingback modelo chanel confeccionado em couro nobuck magenta. Salto de 8cm com pata de 1cm. Ref.: 62262183",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62183-nobuck-magenta-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62183-nobuck-magenta-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62183-nobuck-magenta-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3830,variable,86886334,"Sandália Cetim Cereja",'-1,0,visible,"Sandália Divalesi confeccionada em cetim cereja. Salto de 11cm com pata de 2cm. Ref.: 86886334","Sandália Divalesi confeccionada em cetim cereja. Salto de 11cm com pata de 2cm. Ref.: 86886334",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 30%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86334-cetim-cereja-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86334-cetim-cereja-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86334-cetim-cereja-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3878,variable,86886040,"Peep Toe Brilhante Champanhe",'-1,0,visible,"Peep Toe Divalesi confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Ref.: 86886040","Peep Toe Divalesi confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Ref.: 86886040",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 20%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-brilhante-champanhe-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-brilhante-champanhe-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3892,variable,86886040-1,"Peep Toe Brilhante Prata",'-1,0,visible,"Peep Toe Divalesi confeccionado em brilhante prata. Salto de 11cm com pata de 2cm. Ref.: 86886040-1","Peep Toe Divalesi confeccionado em brilhante prata. Salto de 11cm com pata de 2cm. Ref.: 86886040-1",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 20%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-brilhante-prata-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-brilhante-prata-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-brilhante-prata-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3921,variable,14610706,"Peep Toe Slingback Soft Pele",'-1,0,visible,"Peep Toe Slingback modelo chanel confeccionado em verniz soft pele. Salto de 10cm. Ref.: 14610706","Peep Toe Slingback modelo chanel confeccionado em verniz soft pele. Salto de 10cm. Ref.: 14610706",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/146-10706-soft-pele-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/146-10706-soft-pele-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/146-10706-soft-pele-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Soft Pele",1,1
3945,variable,86886040-1-3,"Peep Toe Cetim Cereja",'-1,0,visible,"Peep Toe Divalesi confeccionado em cetim cereja. Salto de 11cm com pata de 2cm. Ref.: 86886040-1-3","Peep Toe confeccionado em cetim cereja. Salto de 11cm com pata de 2cm. Ref.: 86886040-1-3",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 20%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-cetim-cereja-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-cetim-cereja-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86040-cetim-cereja-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
3954,variable,95495057,"Peep Toe Vitelo Tan/Vitelo Café",'-1,0,visible,"Peep toe modelo chanel confeccionado em couro vitelo tan e couro vitelo café. Salto de 9cm. Metal personalizado Divalesi na cor ouro milde. Ref.: 95495057","Peep toe modelo chanel confeccionado em couro vitelo tan e couro vitelo café. Salto de 9cm. Metal personalizado Divalesi na cor ouro milde. Ref.: 95495057",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 50%, Presentes, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/954-95057-vitelo-tan-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/954-95057-vitelo-tan-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/954-95057-vitelo-tan-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,Café,1,1
3960,variable,14610474,"Sandália Soft Preto",'-1,0,visible,"Sandália confeccionada em verniz soft preto. Salto de 10cm. Ref.: 14610474","Sandália confeccionada em verniz soft preto. Salto de 10cm. Ref.: 14610474",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/146-10474-soft-preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/146-10474-soft-preto-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/146-10474-soft-preto-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Soft Preto",1,1
3969,variable,19010534,"Sandália Brilhante Prata",'-1,0,visible,"Sandália confeccionada em brilhante prata. Salto de 12cm com pata de 3cm. Ref.: 19010534","Sandália confeccionada em brilhante prata. Salto de 12cm com pata de 3cm. Ref.: 19010534",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 30%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/190-10534-brilho-prata-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/190-10534-brilho-prata-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/190-10534-brilho-prata-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Brilhante Prata",1,1
3993,variable,86886096-1,"Sandália Cetim Preto Fosco",'-1,0,visible,"Sandália confeccionada em cetim preto fosco. Salto de 11cm com pata de 2cm. Ref.: 86886096-1","Sandália confeccionada em cetim preto fosco. Salto de 11cm com pata de 2cm. Ref.: 86886096-1",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 30%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86096-cetim-preto-fosco-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86096-cetim-preto-fosco-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86096-cetim-preto-fosco-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4000,variable,19010611,"Sandália Brilhante Champanhe",'-1,0,visible,"Sandália confeccionada em brilhante champanhe. Salto de 12cm com pata de 3cm. Ref.: 19010611","Sandália confeccionada em brilhante champanhe. Salto de 12cm com pata de 3cm. Ref.: 19010611",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 30%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/190-10611-brilhante-champanhe-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/190-10611-brilhante-champanhe-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/190-10611-brilhante-champanhe-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Brilhante Champanhe",1,1
